Timestamp,Weight (kg),Temperature (°C),Humidity (%),Anomaly Label
2024-10-26 01:15:38.287973,14998.707394526415,30.99991636681959,72.29910545704551,0
2024-10-26 01:16:38.287973,15003.39572373285,31.00058718071908,72.29840617330017,0
2024-10-26 01:17:38.287973,15012.840736509954,30.999978365878196,72.29791692458826,0
2024-10-26 01:18:38.287973,14998.599287666819,31.000979662480663,72.29694905914464,0
2024-10-26 01:19:38.287973,15000.669065334181,31.000638657138698,72.29742992493235,0
2024-10-26 01:20:38.287973,15000.455201110683,31.000919429117044,72.29765012939568,0
2024-10-26 01:21:38.287973,14991.834484950294,31.000945214260508,72.2978953672815,0
2024-10-26 01:22:38.287973,14998.875340106119,31.00137101429737,72.2976549722177,0
2024-10-26 01:23:38.287973,15013.562519881501,31.000992206368768,72.29772767741757,0
2024-10-26 01:24:38.287973,15013.1447708691,31.000790649374665,72.29755341698662,0
2024-10-26 01:25:38.287973,14995.241045595618,31.000723102539432,72.2977142102186,0
2024-10-26 01:26:38.287973,14998.771211446146,31.00125035469522,72.29752431720819,0
2024-10-26 01:27:38.287973,14994.315037896396,31.001547714685312,72.29734388203914,0
2024-10-26 01:28:38.287973,14996.732544852961,31.002603096814735,72.29765946860553,0
2024-10-26 01:29:38.287973,14994.482500594831,31.002869905087852,72.2978452768423,0
2024-10-26 01:30:38.287973,14998.516371484913,31.003988408609374,72.29779116007938,0
2024-10-26 01:31:38.287973,15003.419160691763,31.00405133776967,72.29786854213859,0
2024-10-26 01:32:38.287973,15001.352809897557,31.004559670153867,72.29775415198874,0
2024-10-26 01:33:38.287973,14997.897538831656,31.004439809111524,72.2980280131965,0
2024-10-26 01:34:38.287973,14999.010366872839,31.004421739070867,72.29748708394546,0
2024-10-26 01:35:38.287973,14995.308073753104,31.00454730731248,72.2986188166737,0
2024-10-26 01:36:38.287973,14997.528493847003,31.004539024043332,72.29770805231512,0
2024-10-26 01:37:38.287973,14994.358224884456,31.00363606825395,72.29778616017119,0
2024-10-26 01:38:38.287973,14997.903519971234,31.003504200962386,72.29820861069265,0
2024-10-26 01:39:38.287973,14998.835295265959,31.003627617192066,72.29839473871458,0
2024-10-26 01:40:38.287973,15006.125970878811,31.00443398289091,72.29834409034773,0
2024-10-26 01:41:38.287973,15003.173030261785,31.00474190019777,72.29830462105643,0
2024-10-26 01:42:38.287973,14997.36822428637,31.00491390771552,72.29943687441231,0
2024-10-26 01:43:38.287973,15001.87195314155,31.004379810792656,72.2999644152388,0
2024-10-26 01:44:38.287973,14999.687274981128,31.00418988144394,72.29914166201128,0
